event_id,store_id,campaign_id,product_code,base_price,promo_type,quantity_sold(before_promo),quantity_sold(after_promo),Revenue Before,Revenue After,IR,IR%,ISU,ISU%
94f48c,STVSK-1,CAMP_SAN_01,P06,415,25% OFF,22,16,9130,4980,-4150,-45%,-6,-27%
7ef92f,STHYD-5,CAMP_SAN_01,P07,300,BOGOF,55,213,16500,63900,47400,287%,371,675%
0f422c,STBLR-0,CAMP_DIW_01,P14,1020,BOGOF,42,168,42840,171360,128520,300%,294,700%
1e9a06,STCHE-4,CAMP_DIW_01,P13,350,BOGOF,84,338,29400,118300,88900,302%,592,705%
02ebe9,STBLR-8,CAMP_DIW_01,P11,190,50% OFF,66,88,12540,8360,-4180,-33%,22,33%
260ff2,STMYS-2,CAMP_SAN_01,P01,172,33% OFF,204,291,35088,33534.84,-1553.16,-4%,87,43%
7fc923,STTRV-0,CAMP_SAN_01,P08,1190,BOGOF,19,74,22610,88060,65450,289%,129,679%
b08c12,STMDU-3,CAMP_DIW_01,P03,156,25% OFF,227,202,35412,23634,-11778,-33%,-25,-11%
ca7298,STCBE-2,CAMP_SAN_01,P15,3000,500 Cashback,85,228,255000,570000,315000,124%,143,168%
bf33ae,STMYS-0,CAMP_DIW_01,P14,1020,BOGOF,59,182,60180,185640,125460,208%,305,517%
35fb5b,STCBE-2,CAMP_DIW_01,P13,350,BOGOF,50,190,17500,66500,49000,280%,330,660%
def6ff,STMDU-0,CAMP_DIW_01,P11,190,50% OFF,70,89,13300,8455,-4845,-36%,19,27%
2f3e5d,STCHE-2,CAMP_SAN_01,P01,172,33% OFF,333,402,57276,46326.48,-10949.52,-19%,69,21%
ca3893,STMYS-1,CAMP_SAN_01,P09,90,25% OFF,52,39,4680,2632.5,-2047.5,-44%,-13,-25%
922e6a,STBLR-8,CAMP_SAN_01,P05,55,25% OFF,34,24,1870,990,-880,-47%,-10,-29%
4f0587,STMDU-0,CAMP_SAN_01,P08,1190,BOGOF,33,136,39270,161840,122570,312%,239,724%
fa5b45,STVJD-1,CAMP_SAN_01,P08,1190,BOGOF,27,109,32130,129710,97580,304%,191,707%
df45ee,STHYD-3,CAMP_DIW_01,P01,172,33% OFF,309,534,53148,61538.16,8390.16,16%,225,73%
f3ac85,STBLR-5,CAMP_SAN_01,P03,200,BOGOF,348,1350,69600,270000,200400,288%,2352,676%
292ca5,STHYD-2,CAMP_DIW_01,P04,290,25% OFF,287,220,83230,47850,-35380,-43%,-67,-23%
620715,STMYS-3,CAMP_SAN_01,P03,200,BOGOF,340,1485,68000,297000,229000,337%,2630,774%
7e9777,STVJD-1,CAMP_DIW_01,P08,1190,BOGOF,24,82,28560,97580,69020,242%,140,583%
761785,STBLR-4,CAMP_SAN_01,P14,1020,BOGOF,121,474,123420,483480,360060,292%,827,683%
eb3bea,STVSK-2,CAMP_SAN_01,P15,3000,500 Cashback,109,238,327000,595000,268000,82%,129,118%
276150,STCBE-3,CAMP_SAN_01,P07,300,BOGOF,33,128,9900,38400,28500,288%,223,676%
3beb46,STMYS-2,CAMP_SAN_01,P13,350,BOGOF,81,208,28350,72800,44450,157%,335,414%
47af00,STVJD-1,CAMP_DIW_01,P03,156,25% OFF,183,150,28548,17550,-10998,-39%,-33,-18%
627200,STCBE-4,CAMP_DIW_01,P14,1020,BOGOF,36,111,36720,113220,76500,208%,186,517%
bc8315,STHYD-1,CAMP_DIW_01,P12,62,50% OFF,122,135,7564,4185,-3379,-45%,13,11%
1f083a,STVJD-0,CAMP_SAN_01,P06,415,25% OFF,16,14,6640,4357.5,-2282.5,-34%,-2,-13%
c1e0b6,STCHE-6,CAMP_SAN_01,P01,172,33% OFF,273,379,46956,43675.96,-3280.04,-7%,106,39%
f60d93,STCBE-0,CAMP_DIW_01,P05,55,25% OFF,78,75,4290,3093.75,-1196.25,-28%,-3,-4%
a10402,STVSK-2,CAMP_SAN_01,P02,860,33% OFF,295,436,253700,251223.2,-2476.8,-1%,141,48%
741bef,STMYS-0,CAMP_SAN_01,P13,350,BOGOF,114,287,39900,100450,60550,152%,460,404%
105788,STCHE-0,CAMP_SAN_01,P07,300,BOGOF,58,232,17400,69600,52200,300%,406,700%
a85a9a,STHYD-2,CAMP_SAN_01,P10,50,25% OFF,42,31,2100,1162.5,-937.5,-45%,-11,-26%
4.47E+06,STVJD-0,CAMP_SAN_01,P04,370,BOGOF,253,1017,93610,376290,282680,302%,1781,704%
830e9a,STCHE-1,CAMP_DIW_01,P01,172,33% OFF,325,396,55900,45635.04,-10264.96,-18%,71,22%
29524a,STBLR-9,CAMP_SAN_01,P10,50,25% OFF,40,36,2000,1350,-650,-33%,-4,-10%
3ce076,STMLR-1,CAMP_DIW_01,P11,190,50% OFF,38,50,7220,4750,-2470,-34%,12,32%
32fa85,STCHE-3,CAMP_DIW_01,P05,55,25% OFF,106,92,5830,3795,-2035,-35%,-14,-13%
42f304,STCBE-3,CAMP_DIW_01,P06,415,25% OFF,66,57,27390,17741.25,-9648.75,-35%,-9,-14%
a929ed,STHYD-5,CAMP_DIW_01,P03,156,25% OFF,358,347,55848,40599,-15249,-27%,-11,-3%
6dae49,STBLR-1,CAMP_DIW_01,P05,55,25% OFF,117,114,6435,4702.5,-1732.5,-27%,-3,-3%
3b54c7,STHYD-3,CAMP_DIW_01,P04,290,25% OFF,367,297,106430,64597.5,-41832.5,-39%,-70,-19%
7d6e2a,STMLR-0,CAMP_DIW_01,P03,156,25% OFF,166,146,25896,17082,-8814,-34%,-20,-12%
c8ce63,STMDU-0,CAMP_DIW_01,P15,3000,500 Cashback,369,1221,1107000,3052500,1945500,176%,852,231%
bd1314,STMYS-2,CAMP_SAN_01,P05,55,25% OFF,37,30,2035,1237.5,-797.5,-39%,-7,-19%
7634c0,STMLR-0,CAMP_SAN_01,P10,50,25% OFF,15,12,750,450,-300,-40%,-3,-20%
d304f9,STCHE-5,CAMP_DIW_01,P04,290,25% OFF,309,268,89610,58290,-31320,-35%,-41,-13%
34ac29,STMDU-0,CAMP_DIW_01,P06,415,25% OFF,73,64,30295,19920,-10375,-34%,-9,-12%
57a7bc,STHYD-5,CAMP_SAN_01,P14,1020,BOGOF,100,391,102000,398820,296820,291%,682,682%
70e65e,STCBE-0,CAMP_DIW_01,P15,3000,500 Cashback,320,937,960000,2342500,1382500,144%,617,193%
cf2a34,STHYD-3,CAMP_DIW_01,P06,415,25% OFF,106,81,43990,25211.25,-18778.75,-43%,-25,-24%
1c1cb7,STHYD-5,CAMP_SAN_01,P10,50,25% OFF,39,35,1950,1312.5,-637.5,-33%,-4,-10%
8.25E+90,STBLR-3,CAMP_DIW_01,P05,55,25% OFF,112,88,6160,3630,-2530,-41%,-24,-21%
ad56bd,STMLR-2,CAMP_DIW_01,P09,110,50% OFF,36,37,3960,2035,-1925,-49%,1,3%
32efe6,STVSK-3,CAMP_SAN_01,P08,1190,BOGOF,30,81,35700,96390,60690,170%,132,440%
eaa64b,STBLR-3,CAMP_SAN_01,P09,90,25% OFF,58,43,5220,2902.5,-2317.5,-44%,-15,-26%
9e82db,STMDU-1,CAMP_DIW_01,P05,55,25% OFF,92,79,5060,3258.75,-1801.25,-36%,-13,-14%
d5b8af,STVJD-1,CAMP_SAN_01,P11,190,50% OFF,25,35,4750,3325,-1425,-30%,10,40%
6d24bc,STMDU-2,CAMP_DIW_01,P03,156,25% OFF,206,179,32136,20943,-11193,-35%,-27,-13%
107747,STHYD-1,CAMP_SAN_01,P02,860,33% OFF,488,580,419680,334196,-85484,-20%,92,19%
04da18,STVSK-4,CAMP_SAN_01,P03,200,BOGOF,223,604,44600,120800,76200,171%,985,442%
3a3e96,STBLR-6,CAMP_DIW_01,P07,300,BOGOF,68,263,20400,78900,58500,287%,458,674%
8f1624,STVJD-0,CAMP_DIW_01,P10,65,50% OFF,57,75,3705,2437.5,-1267.5,-34%,18,32%
b8269b,STBLR-1,CAMP_DIW_01,P13,350,BOGOF,77,232,26950,81200,54250,201%,387,503%
c6ca4d,STHYD-2,CAMP_SAN_01,P02,860,33% OFF,465,646,399900,372225.2,-27674.8,-7%,181,39%
987463,STBLR-0,CAMP_SAN_01,P07,300,BOGOF,45,185,13500,55500,42000,311%,325,722%
0b51fe,STHYD-3,CAMP_SAN_01,P10,50,25% OFF,39,29,1950,1087.5,-862.5,-44%,-10,-26%
d1ceaf,STBLR-5,CAMP_SAN_01,P10,50,25% OFF,36,29,1800,1087.5,-712.5,-40%,-7,-19%
d834f0,STMYS-3,CAMP_SAN_01,P08,1190,BOGOF,34,147,40460,174930,134470,332%,260,765%
1ed982,STCHE-6,CAMP_DIW_01,P13,350,BOGOF,75,252,26250,88200,61950,236%,429,572%
e9c690,STMDU-3,CAMP_SAN_01,P09,90,25% OFF,45,38,4050,2565,-1485,-37%,-7,-16%
268ca2,STVJD-0,CAMP_SAN_01,P15,3000,500 Cashback,63,151,189000,377500,188500,100%,88,140%
a1624e,STHYD-1,CAMP_DIW_01,P02,860,33% OFF,351,449,301860,258713.8,-43146.2,-14%,98,28%
31b59d,STVSK-3,CAMP_SAN_01,P10,50,25% OFF,27,21,1350,787.5,-562.5,-42%,-6,-22%
82454e,STMLR-1,CAMP_DIW_01,P05,55,25% OFF,54,48,2970,1980,-990,-33%,-6,-11%
1548f8,STVSK-4,CAMP_SAN_01,P15,3000,500 Cashback,100,175,300000,437500,137500,46%,75,75%
84a2f4,STCHE-7,CAMP_SAN_01,P04,370,BOGOF,423,1801,156510,666370,509860,326%,3179,752%
9e59d5,STVSK-1,CAMP_DIW_01,P05,55,25% OFF,64,49,3520,2021.25,-1498.75,-43%,-15,-23%
873333,STMLR-0,CAMP_DIW_01,P15,3000,500 Cashback,196,509,588000,1272500,684500,116%,313,160%
8b751b,STMLR-0,CAMP_SAN_01,P05,55,25% OFF,15,12,825,495,-330,-40%,-3,-20%
f856b9,STMLR-2,CAMP_SAN_01,P15,3000,500 Cashback,66,147,198000,367500,169500,86%,81,123%
dcaa89,STHYD-6,CAMP_SAN_01,P13,350,BOGOF,100,403,35000,141050,106050,303%,706,706%
677e2c,STHYD-1,CAMP_SAN_01,P13,350,BOGOF,122,326,42700,114100,71400,167%,530,434%
b00eeb,STCHE-0,CAMP_SAN_01,P08,1190,BOGOF,51,196,60690,233240,172550,284%,341,669%
8ff468,STVJD-0,CAMP_SAN_01,P03,200,BOGOF,193,773,38600,154600,116000,301%,1353,701%
72f6b4,STTRV-0,CAMP_SAN_01,P02,860,33% OFF,241,344,207260,198212.8,-9047.2,-4%,103,43%
300664,STHYD-5,CAMP_DIW_01,P13,350,BOGOF,80,276,28000,96600,68600,245%,472,590%
7ecbbb,STHYD-1,CAMP_DIW_01,P06,415,25% OFF,103,88,42745,27390,-15355,-36%,-15,-15%
2dc515,STMYS-3,CAMP_SAN_01,P01,172,33% OFF,232,294,39904,33880.56,-6023.44,-15%,62,27%
a4fb0b,STMDU-0,CAMP_SAN_01,P02,860,33% OFF,318,448,273480,258137.6,-15342.4,-6%,130,41%
f2d198,STTRV-1,CAMP_DIW_01,P03,156,25% OFF,166,157,25896,18369,-7527,-29%,-9,-5%
df5c15,STBLR-5,CAMP_DIW_01,P06,415,25% OFF,101,90,41915,28012.5,-13902.5,-33%,-11,-11%
4e6a19,STHYD-3,CAMP_SAN_01,P07,300,BOGOF,45,121,13500,36300,22800,169%,197,438%
6436da,STMDU-1,CAMP_SAN_01,P08,1190,BOGOF,30,118,35700,140420,104720,293%,206,687%
852b4f,STHYD-5,CAMP_SAN_01,P12,62,50% OFF,49,70,3038,2170,-868,-29%,21,43%
26322a,STMLR-0,CAMP_DIW_01,P10,65,50% OFF,52,71,3380,2307.5,-1072.5,-32%,19,37%
57576d,STBLR-5,CAMP_SAN_01,P08,1190,BOGOF,49,194,58310,230860,172550,296%,339,692%
af646e,STHYD-4,CAMP_SAN_01,P11,190,50% OFF,54,78,10260,7410,-2850,-28%,24,44%
ccbc3a,STTRV-0,CAMP_DIW_01,P06,415,25% OFF,52,49,21580,15251.25,-6328.75,-29%,-3,-6%
572031,STBLR-6,CAMP_SAN_01,P03,200,BOGOF,423,1734,84600,346800,262200,310%,3045,720%
5a21a5,STBLR-4,CAMP_SAN_01,P10,50,25% OFF,31,26,1550,975,-575,-37%,-5,-16%
c6bf42,STCBE-3,CAMP_DIW_01,P07,300,BOGOF,52,173,15600,51900,36300,233%,294,565%
f5ff07,STCHE-6,CAMP_DIW_01,P11,190,50% OFF,80,100,15200,9500,-5700,-38%,20,25%
2c8137,STVSK-3,CAMP_SAN_01,P07,300,BOGOF,31,77,9300,23100,13800,148%,123,397%
4e3a3d,STVJD-0,CAMP_DIW_01,P02,860,33% OFF,197,285,169420,164217,-5203,-3%,88,45%
582098,STMYS-1,CAMP_SAN_01,P14,1020,BOGOF,109,453,111180,462060,350880,316%,797,731%
9387d1,STHYD-6,CAMP_DIW_01,P02,860,33% OFF,329,470,282940,270814,-12126,-4%,141,43%
6c9451,STVSK-0,CAMP_DIW_01,P03,156,25% OFF,259,225,40404,26325,-14079,-35%,-34,-13%
9c74f7,STBLR-9,CAMP_DIW_01,P09,110,50% OFF,71,90,7810,4950,-2860,-37%,19,27%
c3bbcc,STBLR-2,CAMP_SAN_01,P07,300,BOGOF,31,122,9300,36600,27300,294%,213,687%
00a25a,STCHE-3,CAMP_SAN_01,P12,62,50% OFF,64,89,3968,2759,-1209,-30%,25,39%
7b0f7d,STVJD-1,CAMP_DIW_01,P01,172,33% OFF,180,255,30960,29386.2,-1573.8,-5%,75,42%
b484bd,STTRV-1,CAMP_DIW_01,P06,415,25% OFF,36,34,14940,10582.5,-4357.5,-29%,-2,-6%
3aaafb,STMDU-2,CAMP_DIW_01,P06,415,25% OFF,50,43,20750,13383.75,-7366.25,-36%,-7,-14%
20d916,STCBE-1,CAMP_DIW_01,P07,300,BOGOF,57,188,17100,56400,39300,230%,319,560%
eccfbe,STCHE-1,CAMP_DIW_01,P02,860,33% OFF,364,451,313040,259866.2,-53173.8,-17%,87,24%
71a7a0,STCHE-6,CAMP_DIW_01,P14,1020,BOGOF,59,195,60180,198900,138720,231%,331,561%
fd2628,STBLR-8,CAMP_DIW_01,P15,3000,500 Cashback,437,1306,1311000,3265000,1954000,149%,869,199%
7b187a,STVSK-1,CAMP_SAN_01,P14,1020,BOGOF,82,322,83640,328440,244800,293%,562,685%
345b49,STMDU-2,CAMP_SAN_01,P14,1020,BOGOF,76,300,77520,306000,228480,295%,524,689%
1c4a78,STMLR-2,CAMP_SAN_01,P12,62,50% OFF,27,31,1674,961,-713,-43%,4,15%
70c312,STHYD-4,CAMP_SAN_01,P13,350,BOGOF,135,534,47250,186900,139650,296%,933,691%
1ee94b,STHYD-0,CAMP_DIW_01,P13,350,BOGOF,68,235,23800,82250,58450,246%,402,591%
c381ea,STMLR-1,CAMP_SAN_01,P08,1190,BOGOF,27,106,32130,126140,94010,293%,185,685%
8724c8,STCBE-4,CAMP_SAN_01,P04,370,BOGOF,363,990,134310,366300,231990,173%,1617,445%
8f3699,STVSK-3,CAMP_DIW_01,P03,156,25% OFF,196,174,30576,20358,-10218,-33%,-22,-11%
bfb2b4,STBLR-7,CAMP_SAN_01,P13,350,BOGOF,133,559,46550,195650,149100,320%,985,741%
19e2f0,STCHE-7,CAMP_SAN_01,P11,190,50% OFF,58,81,11020,7695,-3325,-30%,23,40%
a0d919,STMDU-1,CAMP_DIW_01,P08,1190,BOGOF,35,122,41650,145180,103530,249%,209,597%
98c85b,STMLR-2,CAMP_DIW_01,P13,350,BOGOF,38,133,13300,46550,33250,250%,228,600%
d60641,STHYD-0,CAMP_DIW_01,P03,156,25% OFF,351,305,54756,35685,-19071,-35%,-46,-13%
a340fc,STBLR-4,CAMP_DIW_01,P05,55,25% OFF,136,121,7480,4991.25,-2488.75,-33%,-15,-11%
4dca21,STVSK-1,CAMP_SAN_01,P04,370,BOGOF,252,985,93240,364450,271210,291%,1718,682%
ff18f2,STVSK-3,CAMP_DIW_01,P15,3000,500 Cashback,260,681,780000,1702500,922500,118%,421,162%
b79fd9,STVJD-1,CAMP_DIW_01,P04,290,25% OFF,150,123,43500,26752.5,-16747.5,-39%,-27,-18%
c23e33,STHYD-6,CAMP_SAN_01,P11,190,50% OFF,49,69,9310,6555,-2755,-30%,20,41%
cf734f,STHYD-4,CAMP_SAN_01,P08,1190,BOGOF,51,203,60690,241570,180880,298%,355,696%
0951b6,STMYS-1,CAMP_DIW_01,P09,110,50% OFF,103,159,11330,8745,-2585,-23%,56,54%
413f48,STVSK-0,CAMP_SAN_01,P14,1020,BOGOF,61,234,62220,238680,176460,284%,407,667%
de1ced,STCHE-3,CAMP_DIW_01,P03,156,25% OFF,330,290,51480,33930,-17550,-34%,-40,-12%
291ddf,STCBE-1,CAMP_SAN_01,P03,200,BOGOF,267,1054,53400,210800,157400,295%,1841,690%
aa1bbd,STCBE-0,CAMP_SAN_01,P10,50,25% OFF,25,22,1250,825,-425,-34%,-3,-12%
53a947,STBLR-1,CAMP_SAN_01,P06,415,25% OFF,39,36,16185,11205,-4980,-31%,-3,-8%
b8f698,STMDU-3,CAMP_DIW_01,P10,65,50% OFF,68,76,4420,2470,-1950,-44%,8,12%
13ad42,STMDU-0,CAMP_DIW_01,P03,156,25% OFF,241,209,37596,24453,-13143,-35%,-32,-13%
93e61f,STBLR-4,CAMP_DIW_01,P10,65,50% OFF,92,120,5980,3900,-2080,-35%,28,30%
3070a3,STVSK-3,CAMP_DIW_01,P10,65,50% OFF,68,76,4420,2470,-1950,-44%,8,12%
cf0a2a,STHYD-3,CAMP_DIW_01,P09,110,50% OFF,92,147,10120,8085,-2035,-20%,55,60%
ae5745,STCBE-4,CAMP_DIW_01,P06,415,25% OFF,68,61,28220,18986.25,-9233.75,-33%,-7,-10%
695cd9,STTRV-1,CAMP_SAN_01,P07,300,BOGOF,21,82,6300,24600,18300,290%,143,681%
b76614,STMLR-0,CAMP_SAN_01,P12,62,50% OFF,33,47,2046,1457,-589,-29%,14,42%
d42636,STBLR-6,CAMP_SAN_01,P05,55,25% OFF,25,20,1375,825,-550,-40%,-5,-20%
d9d3f4,STMYS-1,CAMP_DIW_01,P10,65,50% OFF,103,158,6695,5135,-1560,-23%,55,53%
8cbaa3,STHYD-2,CAMP_SAN_01,P08,1190,BOGOF,60,238,71400,283220,211820,297%,416,693%
aaea9e,STTRV-0,CAMP_DIW_01,P10,65,50% OFF,68,93,4420,3022.5,-1397.5,-32%,25,37%
34a266,STMLR-0,CAMP_DIW_01,P08,1190,BOGOF,24,70,28560,83300,54740,192%,116,483%
b017e0,STMDU-3,CAMP_DIW_01,P02,860,33% OFF,276,345,237360,198789,-38571,-16%,69,25%
7014a8,STBLR-8,CAMP_SAN_01,P14,1020,BOGOF,97,385,98940,392700,293760,297%,673,694%
9e2de4,STMLR-0,CAMP_SAN_01,P07,300,BOGOF,21,54,6300,16200,9900,157%,87,414%
ec29f9,STTRV-1,CAMP_SAN_01,P06,415,25% OFF,21,19,8715,5913.75,-2801.25,-32%,-2,-10%
5c50b6,STHYD-6,CAMP_SAN_01,P09,90,25% OFF,55,45,4950,3037.5,-1912.5,-39%,-10,-18%
e2a523,STHYD-5,CAMP_DIW_01,P07,300,BOGOF,59,195,17700,58500,40800,231%,331,561%
166a02,STCHE-6,CAMP_SAN_01,P13,350,BOGOF,111,445,38850,155750,116900,301%,779,702%
61b929,STVSK-2,CAMP_DIW_01,P14,1020,BOGOF,33,109,33660,111180,77520,230%,185,561%
908a96,STHYD-4,CAMP_SAN_01,P12,62,50% OFF,52,72,3224,2232,-992,-31%,20,38%
d0f417,STCBE-4,CAMP_DIW_01,P12,62,50% OFF,89,112,5518,3472,-2046,-37%,23,26%
c4b10c,STCHE-5,CAMP_DIW_01,P06,415,25% OFF,87,77,36105,23966.25,-12138.75,-34%,-10,-11%
e39703,STBLR-9,CAMP_DIW_01,P08,1190,BOGOF,47,163,55930,193970,138040,247%,279,594%
1.11E+11,STMYS-3,CAMP_SAN_01,P11,190,50% OFF,43,48,8170,4560,-3610,-44%,5,12%
029ff8,STMLR-0,CAMP_SAN_01,P01,172,33% OFF,169,236,29068,27196.64,-1871.36,-6%,67,40%
daff65,STMLR-0,CAMP_DIW_01,P11,190,50% OFF,35,45,6650,4275,-2375,-36%,10,29%
108a63,STHYD-3,CAMP_SAN_01,P05,55,25% OFF,30,22,1650,907.5,-742.5,-45%,-8,-27%
e7d681,STCHE-5,CAMP_DIW_01,P13,350,BOGOF,66,226,23100,79100,56000,242%,386,585%
02fa4b,STVSK-4,CAMP_DIW_01,P01,172,33% OFF,155,218,26660,25122.32,-1537.68,-6%,63,41%
2b0a40,STHYD-2,CAMP_DIW_01,P13,350,BOGOF,82,273,28700,95550,66850,233%,464,566%
406a98,STBLR-5,CAMP_SAN_01,P01,172,33% OFF,264,361,45408,41601.64,-3806.36,-8%,97,37%
ad1849,STCHE-1,CAMP_DIW_01,P05,55,25% OFF,119,107,6545,4413.75,-2131.25,-33%,-12,-10%
cfa879,STCHE-4,CAMP_SAN_01,P13,350,BOGOF,114,502,39900,175700,135800,340%,890,781%
d2b963,STVJD-0,CAMP_SAN_01,P14,1020,BOGOF,48,187,48960,190740,141780,290%,326,679%
2e3393,STCHE-3,CAMP_SAN_01,P14,1020,BOGOF,112,460,114240,469200,354960,311%,808,721%
68718c,STCHE-0,CAMP_DIW_01,P04,290,25% OFF,309,265,89610,57637.5,-31972.5,-36%,-44,-14%
591730,STBLR-2,CAMP_SAN_01,P09,90,25% OFF,64,53,5760,3577.5,-2182.5,-38%,-11,-17%
7d1872,STMYS-2,CAMP_DIW_01,P02,860,33% OFF,283,430,243380,247766,4386,2%,147,52%
4b3df6,STTRV-1,CAMP_SAN_01,P14,1020,BOGOF,61,234,62220,238680,176460,284%,407,667%
55b461,STMDU-0,CAMP_SAN_01,P06,415,25% OFF,21,17,8715,5291.25,-3423.75,-39%,-4,-19%
6b26bc,STHYD-2,CAMP_SAN_01,P05,55,25% OFF,24,18,1320,742.5,-577.5,-44%,-6,-25%
dbd453,STMLR-1,CAMP_SAN_01,P03,200,BOGOF,195,776,39000,155200,116200,298%,1357,696%
1fcb3a,STVSK-4,CAMP_DIW_01,P05,55,25% OFF,89,72,4895,2970,-1925,-39%,-17,-19%
0a45d8,STTRV-0,CAMP_DIW_01,P02,860,33% OFF,196,303,168560,174588.6,6028.6,4%,107,55%
e4235a,STVJD-0,CAMP_SAN_01,P09,90,25% OFF,33,30,2970,2025,-945,-32%,-3,-9%
ca1e8f,STHYD-1,CAMP_DIW_01,P08,1190,BOGOF,54,167,64260,198730,134470,209%,280,519%
aa76f1,STHYD-0,CAMP_SAN_01,P11,190,50% OFF,42,65,7980,6175,-1805,-23%,23,55%
e8aca2,STCBE-4,CAMP_DIW_01,P08,1190,BOGOF,40,119,47600,141610,94010,198%,198,495%
c8670a,STCHE-0,CAMP_DIW_01,P15,3000,500 Cashback,343,1056,1029000,2640000,1611000,157%,713,208%
c99d18,STCHE-7,CAMP_DIW_01,P08,1190,BOGOF,54,218,64260,259420,195160,304%,382,707%
bcbc28,STVSK-1,CAMP_DIW_01,P02,860,33% OFF,253,389,217580,224141.8,6561.8,3%,136,54%
d7e3d8,STVJD-1,CAMP_DIW_01,P13,350,BOGOF,36,124,12600,43400,30800,244%,212,589%
5991de,STMDU-0,CAMP_DIW_01,P09,110,50% OFF,43,58,4730,3190,-1540,-33%,15,35%
4ad894,STMLR-1,CAMP_DIW_01,P03,156,25% OFF,192,165,29952,19305,-10647,-36%,-27,-14%
72f1c0,STVSK-4,CAMP_DIW_01,P11,190,50% OFF,57,72,10830,6840,-3990,-37%,15,26%
465ef1,STCHE-4,CAMP_DIW_01,P04,290,25% OFF,304,273,88160,59377.5,-28782.5,-33%,-31,-10%
db76f3,STBLR-0,CAMP_DIW_01,P01,172,33% OFF,294,438,50568,50475.12,-92.88,0%,144,49%
8f4f8c,STVJD-1,CAMP_DIW_01,P02,860,33% OFF,210,321,180600,184960.2,4360.2,2%,111,53%
dd2475,STBLR-4,CAMP_DIW_01,P04,290,25% OFF,325,289,94250,62857.5,-31392.5,-33%,-36,-11%
a0a2ec,STBLR-8,CAMP_SAN_01,P01,172,33% OFF,346,491,59512,56582.84,-2929.16,-5%,145,42%
0f1be6,STCBE-2,CAMP_DIW_01,P12,62,50% OFF,89,129,5518,3999,-1519,-28%,40,45%
5b357f,STMDU-1,CAMP_DIW_01,P15,3000,500 Cashback,322,985,966000,2462500,1496500,155%,663,206%
380012,STMDU-3,CAMP_DIW_01,P06,415,25% OFF,56,50,23240,15562.5,-7677.5,-33%,-6,-11%
3906da,STMLR-2,CAMP_SAN_01,P09,90,25% OFF,33,27,2970,1822.5,-1147.5,-39%,-6,-18%
c917a3,STCHE-3,CAMP_DIW_01,P04,290,25% OFF,350,311,101500,67642.5,-33857.5,-33%,-39,-11%
3a8b79,STMDU-0,CAMP_DIW_01,P07,300,BOGOF,49,199,14700,59700,45000,306%,349,712%
c48008,STBLR-2,CAMP_DIW_01,P14,1020,BOGOF,47,162,47940,165240,117300,245%,277,589%
88a405,STMLR-2,CAMP_DIW_01,P12,62,50% OFF,63,71,3906,2201,-1705,-44%,8,13%
1ba928,STMDU-1,CAMP_DIW_01,P04,290,25% OFF,255,219,73950,47632.5,-26317.5,-36%,-36,-14%
7d5e81,STCHE-5,CAMP_SAN_01,P07,300,BOGOF,43,167,12900,50100,37200,288%,291,677%
43feca,STMDU-3,CAMP_DIW_01,P13,350,BOGOF,56,184,19600,64400,44800,229%,312,557%
