event_id,store_id,campaign_id,product_code,Category,base_price,promo_type,quantity_sold(before_promo),quantity_sold(after_promo),Revenue Before,Revenue After,IR,IR%,ISU,ISU%
627200,STCBE-4,CAMP_DIW_01,P14,Home Appliances,1020,BOGOF,36,111,"? 36,720","? 1,13,220","? 76,500",208%,186,517%
bc8315,STHYD-1,CAMP_DIW_01,P12,Personal Care,62,50% OFF,122,135,"? 7,564","? 4,185","-? 3,379",-45%,13,11%
1f083a,STVJD-0,CAMP_SAN_01,P06,Home Care,415,25% OFF,16,14,"? 6,640","? 4,358","-? 2,283",-34%,-2,-13%
c1e0b6,STCHE-6,CAMP_SAN_01,P01,Grocery & Staples,172,33% OFF,273,379,"? 46,956","? 43,676","-? 3,280",-7%,106,39%
f60d93,STCBE-0,CAMP_DIW_01,P05,Home Care,55,25% OFF,78,75,"? 4,290","? 3,094","-? 1,196",-28%,-3,-4%
a10402,STVSK-2,CAMP_SAN_01,P02,Grocery & Staples,860,33% OFF,295,436,"? 2,53,700","? 2,51,223","-? 2,477",-1%,141,48%
741bef,STMYS-0,CAMP_SAN_01,P13,Home Appliances,350,BOGOF,114,287,"? 39,900","? 1,00,450","? 60,550",152%,460,404%
105788,STCHE-0,CAMP_SAN_01,P07,Home Care,300,BOGOF,58,232,"? 17,400","? 69,600","? 52,200",300%,406,700%
a85a9a,STHYD-2,CAMP_SAN_01,P10,Personal Care,50,25% OFF,42,31,"? 2,100","? 1,163",-? 938,-45%,-11,-26%
4.47E+06,STVJD-0,CAMP_SAN_01,P04,Grocery & Staples,370,BOGOF,253,1017,"? 93,610","? 3,76,290","? 2,82,680",302%,1781,704%
830e9a,STCHE-1,CAMP_DIW_01,P01,Grocery & Staples,172,33% OFF,325,396,"? 55,900","? 45,635","-? 10,265",-18%,71,22%
29524a,STBLR-9,CAMP_SAN_01,P10,Personal Care,50,25% OFF,40,36,"? 2,000","? 1,350",-? 650,-33%,-4,-10%
3ce076,STMLR-1,CAMP_DIW_01,P11,Personal Care,190,50% OFF,38,50,"? 7,220","? 4,750","-? 2,470",-34%,12,32%
32fa85,STCHE-3,CAMP_DIW_01,P05,Home Care,55,25% OFF,106,92,"? 5,830","? 3,795","-? 2,035",-35%,-14,-13%
42f304,STCBE-3,CAMP_DIW_01,P06,Home Care,415,25% OFF,66,57,"? 27,390","? 17,741","-? 9,649",-35%,-9,-14%
a929ed,STHYD-5,CAMP_DIW_01,P03,Grocery & Staples,156,25% OFF,358,347,"? 55,848","? 40,599","-? 15,249",-27%,-11,-3%
6dae49,STBLR-1,CAMP_DIW_01,P05,Home Care,55,25% OFF,117,114,"? 6,435","? 4,703","-? 1,733",-27%,-3,-3%
3b54c7,STHYD-3,CAMP_DIW_01,P04,Grocery & Staples,290,25% OFF,367,297,"? 1,06,430","? 64,598","-? 41,833",-39%,-70,-19%
7d6e2a,STMLR-0,CAMP_DIW_01,P03,Grocery & Staples,156,25% OFF,166,146,"? 25,896","? 17,082","-? 8,814",-34%,-20,-12%
c8ce63,STMDU-0,CAMP_DIW_01,P15,Combo1,3000,500 Cashback,369,1221,"? 11,07,000","? 30,52,500","? 19,45,500",176%,852,231%
bd1314,STMYS-2,CAMP_SAN_01,P05,Home Care,55,25% OFF,37,30,"? 2,035","? 1,238",-? 798,-39%,-7,-19%
7634c0,STMLR-0,CAMP_SAN_01,P10,Personal Care,50,25% OFF,15,12,? 750,? 450,-? 300,-40%,-3,-20%
d304f9,STCHE-5,CAMP_DIW_01,P04,Grocery & Staples,290,25% OFF,309,268,"? 89,610","? 58,290","-? 31,320",-35%,-41,-13%
34ac29,STMDU-0,CAMP_DIW_01,P06,Home Care,415,25% OFF,73,64,"? 30,295","? 19,920","-? 10,375",-34%,-9,-12%
57a7bc,STHYD-5,CAMP_SAN_01,P14,Home Appliances,1020,BOGOF,100,391,"? 1,02,000","? 3,98,820","? 2,96,820",291%,682,682%
70e65e,STCBE-0,CAMP_DIW_01,P15,Combo1,3000,500 Cashback,320,937,"? 9,60,000","? 23,42,500","? 13,82,500",144%,617,193%
cf2a34,STHYD-3,CAMP_DIW_01,P06,Home Care,415,25% OFF,106,81,"? 43,990","? 25,211","-? 18,779",-43%,-25,-24%
1c1cb7,STHYD-5,CAMP_SAN_01,P10,Personal Care,50,25% OFF,39,35,"? 1,950","? 1,313",-? 638,-33%,-4,-10%
8.25E+90,STBLR-3,CAMP_DIW_01,P05,Home Care,55,25% OFF,112,88,"? 6,160","? 3,630","-? 2,530",-41%,-24,-21%
ad56bd,STMLR-2,CAMP_DIW_01,P09,Personal Care,110,50% OFF,36,37,"? 3,960","? 2,035","-? 1,925",-49%,1,3%
32efe6,STVSK-3,CAMP_SAN_01,P08,Home Care,1190,BOGOF,30,81,"? 35,700","? 96,390","? 60,690",170%,132,440%
eaa64b,STBLR-3,CAMP_SAN_01,P09,Personal Care,90,25% OFF,58,43,"? 5,220","? 2,903","-? 2,318",-44%,-15,-26%
9e82db,STMDU-1,CAMP_DIW_01,P05,Home Care,55,25% OFF,92,79,"? 5,060","? 3,259","-? 1,801",-36%,-13,-14%
d5b8af,STVJD-1,CAMP_SAN_01,P11,Personal Care,190,50% OFF,25,35,"? 4,750","? 3,325","-? 1,425",-30%,10,40%
6d24bc,STMDU-2,CAMP_DIW_01,P03,Grocery & Staples,156,25% OFF,206,179,"? 32,136","? 20,943","-? 11,193",-35%,-27,-13%
107747,STHYD-1,CAMP_SAN_01,P02,Grocery & Staples,860,33% OFF,488,580,"? 4,19,680","? 3,34,196","-? 85,484",-20%,92,19%
04da18,STVSK-4,CAMP_SAN_01,P03,Grocery & Staples,200,BOGOF,223,604,"? 44,600","? 1,20,800","? 76,200",171%,985,442%
3a3e96,STBLR-6,CAMP_DIW_01,P07,Home Care,300,BOGOF,68,263,"? 20,400","? 78,900","? 58,500",287%,458,674%
8f1624,STVJD-0,CAMP_DIW_01,P10,Personal Care,65,50% OFF,57,75,"? 3,705","? 2,438","-? 1,268",-34%,18,32%
b8269b,STBLR-1,CAMP_DIW_01,P13,Home Appliances,350,BOGOF,77,232,"? 26,950","? 81,200","? 54,250",201%,387,503%
c6ca4d,STHYD-2,CAMP_SAN_01,P02,Grocery & Staples,860,33% OFF,465,646,"? 3,99,900","? 3,72,225","-? 27,675",-7%,181,39%
987463,STBLR-0,CAMP_SAN_01,P07,Home Care,300,BOGOF,45,185,"? 13,500","? 55,500","? 42,000",311%,325,722%
0b51fe,STHYD-3,CAMP_SAN_01,P10,Personal Care,50,25% OFF,39,29,"? 1,950","? 1,088",-? 863,-44%,-10,-26%
d1ceaf,STBLR-5,CAMP_SAN_01,P10,Personal Care,50,25% OFF,36,29,"? 1,800","? 1,088",-? 713,-40%,-7,-19%
d834f0,STMYS-3,CAMP_SAN_01,P08,Home Care,1190,BOGOF,34,147,"? 40,460","? 1,74,930","? 1,34,470",332%,260,765%
1ed982,STCHE-6,CAMP_DIW_01,P13,Home Appliances,350,BOGOF,75,252,"? 26,250","? 88,200","? 61,950",236%,429,572%
e9c690,STMDU-3,CAMP_SAN_01,P09,Personal Care,90,25% OFF,45,38,"? 4,050","? 2,565","-? 1,485",-37%,-7,-16%
268ca2,STVJD-0,CAMP_SAN_01,P15,Combo1,3000,500 Cashback,63,151,"? 1,89,000","? 3,77,500","? 1,88,500",100%,88,140%
a1624e,STHYD-1,CAMP_DIW_01,P02,Grocery & Staples,860,33% OFF,351,449,"? 3,01,860","? 2,58,714","-? 43,146",-14%,98,28%
31b59d,STVSK-3,CAMP_SAN_01,P10,Personal Care,50,25% OFF,27,21,"? 1,350",? 788,-? 563,-42%,-6,-22%
82454e,STMLR-1,CAMP_DIW_01,P05,Home Care,55,25% OFF,54,48,"? 2,970","? 1,980",-? 990,-33%,-6,-11%
1548f8,STVSK-4,CAMP_SAN_01,P15,Combo1,3000,500 Cashback,100,175,"? 3,00,000","? 4,37,500","? 1,37,500",46%,75,75%
84a2f4,STCHE-7,CAMP_SAN_01,P04,Grocery & Staples,370,BOGOF,423,1801,"? 1,56,510","? 6,66,370","? 5,09,860",326%,3179,752%
9e59d5,STVSK-1,CAMP_DIW_01,P05,Home Care,55,25% OFF,64,49,"? 3,520","? 2,021","-? 1,499",-43%,-15,-23%
873333,STMLR-0,CAMP_DIW_01,P15,Combo1,3000,500 Cashback,196,509,"? 5,88,000","? 12,72,500","? 6,84,500",116%,313,160%
8b751b,STMLR-0,CAMP_SAN_01,P05,Home Care,55,25% OFF,15,12,? 825,? 495,-? 330,-40%,-3,-20%
f856b9,STMLR-2,CAMP_SAN_01,P15,Combo1,3000,500 Cashback,66,147,"? 1,98,000","? 3,67,500","? 1,69,500",86%,81,123%
dcaa89,STHYD-6,CAMP_SAN_01,P13,Home Appliances,350,BOGOF,100,403,"? 35,000","? 1,41,050","? 1,06,050",303%,706,706%
677e2c,STHYD-1,CAMP_SAN_01,P13,Home Appliances,350,BOGOF,122,326,"? 42,700","? 1,14,100","? 71,400",167%,530,434%
b00eeb,STCHE-0,CAMP_SAN_01,P08,Home Care,1190,BOGOF,51,196,"? 60,690","? 2,33,240","? 1,72,550",284%,341,669%
8ff468,STVJD-0,CAMP_SAN_01,P03,Grocery & Staples,200,BOGOF,193,773,"? 38,600","? 1,54,600","? 1,16,000",301%,1353,701%
72f6b4,STTRV-0,CAMP_SAN_01,P02,Grocery & Staples,860,33% OFF,241,344,"? 2,07,260","? 1,98,213","-? 9,047",-4%,103,43%
300664,STHYD-5,CAMP_DIW_01,P13,Home Appliances,350,BOGOF,80,276,"? 28,000","? 96,600","? 68,600",245%,472,590%
7ecbbb,STHYD-1,CAMP_DIW_01,P06,Home Care,415,25% OFF,103,88,"? 42,745","? 27,390","-? 15,355",-36%,-15,-15%
2dc515,STMYS-3,CAMP_SAN_01,P01,Grocery & Staples,172,33% OFF,232,294,"? 39,904","? 33,881","-? 6,023",-15%,62,27%
a4fb0b,STMDU-0,CAMP_SAN_01,P02,Grocery & Staples,860,33% OFF,318,448,"? 2,73,480","? 2,58,138","-? 15,342",-6%,130,41%
f2d198,STTRV-1,CAMP_DIW_01,P03,Grocery & Staples,156,25% OFF,166,157,"? 25,896","? 18,369","-? 7,527",-29%,-9,-5%
df5c15,STBLR-5,CAMP_DIW_01,P06,Home Care,415,25% OFF,101,90,"? 41,915","? 28,013","-? 13,903",-33%,-11,-11%
4e6a19,STHYD-3,CAMP_SAN_01,P07,Home Care,300,BOGOF,45,121,"? 13,500","? 36,300","? 22,800",169%,197,438%
6436da,STMDU-1,CAMP_SAN_01,P08,Home Care,1190,BOGOF,30,118,"? 35,700","? 1,40,420","? 1,04,720",293%,206,687%
852b4f,STHYD-5,CAMP_SAN_01,P12,Personal Care,62,50% OFF,49,70,"? 3,038","? 2,170",-? 868,-29%,21,43%
26322a,STMLR-0,CAMP_DIW_01,P10,Personal Care,65,50% OFF,52,71,"? 3,380","? 2,308","-? 1,073",-32%,19,37%
57576d,STBLR-5,CAMP_SAN_01,P08,Home Care,1190,BOGOF,49,194,"? 58,310","? 2,30,860","? 1,72,550",296%,339,692%
af646e,STHYD-4,CAMP_SAN_01,P11,Personal Care,190,50% OFF,54,78,"? 10,260","? 7,410","-? 2,850",-28%,24,44%
ccbc3a,STTRV-0,CAMP_DIW_01,P06,Home Care,415,25% OFF,52,49,"? 21,580","? 15,251","-? 6,329",-29%,-3,-6%
572031,STBLR-6,CAMP_SAN_01,P03,Grocery & Staples,200,BOGOF,423,1734,"? 84,600","? 3,46,800","? 2,62,200",310%,3045,720%
5a21a5,STBLR-4,CAMP_SAN_01,P10,Personal Care,50,25% OFF,31,26,"? 1,550",? 975,-? 575,-37%,-5,-16%
c6bf42,STCBE-3,CAMP_DIW_01,P07,Home Care,300,BOGOF,52,173,"? 15,600","? 51,900","? 36,300",233%,294,565%
f5ff07,STCHE-6,CAMP_DIW_01,P11,Personal Care,190,50% OFF,80,100,"? 15,200","? 9,500","-? 5,700",-38%,20,25%
2c8137,STVSK-3,CAMP_SAN_01,P07,Home Care,300,BOGOF,31,77,"? 9,300","? 23,100","? 13,800",148%,123,397%
4e3a3d,STVJD-0,CAMP_DIW_01,P02,Grocery & Staples,860,33% OFF,197,285,"? 1,69,420","? 1,64,217","-? 5,203",-3%,88,45%
582098,STMYS-1,CAMP_SAN_01,P14,Home Appliances,1020,BOGOF,109,453,"? 1,11,180","? 4,62,060","? 3,50,880",316%,797,731%
9387d1,STHYD-6,CAMP_DIW_01,P02,Grocery & Staples,860,33% OFF,329,470,"? 2,82,940","? 2,70,814","-? 12,126",-4%,141,43%
6c9451,STVSK-0,CAMP_DIW_01,P03,Grocery & Staples,156,25% OFF,259,225,"? 40,404","? 26,325","-? 14,079",-35%,-34,-13%
9c74f7,STBLR-9,CAMP_DIW_01,P09,Personal Care,110,50% OFF,71,90,"? 7,810","? 4,950","-? 2,860",-37%,19,27%
c3bbcc,STBLR-2,CAMP_SAN_01,P07,Home Care,300,BOGOF,31,122,"? 9,300","? 36,600","? 27,300",294%,213,687%
00a25a,STCHE-3,CAMP_SAN_01,P12,Personal Care,62,50% OFF,64,89,"? 3,968","? 2,759","-? 1,209",-30%,25,39%
7b0f7d,STVJD-1,CAMP_DIW_01,P01,Grocery & Staples,172,33% OFF,180,255,"? 30,960","? 29,386","-? 1,574",-5%,75,42%
b484bd,STTRV-1,CAMP_DIW_01,P06,Home Care,415,25% OFF,36,34,"? 14,940","? 10,583","-? 4,358",-29%,-2,-6%
3aaafb,STMDU-2,CAMP_DIW_01,P06,Home Care,415,25% OFF,50,43,"? 20,750","? 13,384","-? 7,366",-36%,-7,-14%
20d916,STCBE-1,CAMP_DIW_01,P07,Home Care,300,BOGOF,57,188,"? 17,100","? 56,400","? 39,300",230%,319,560%
eccfbe,STCHE-1,CAMP_DIW_01,P02,Grocery & Staples,860,33% OFF,364,451,"? 3,13,040","? 2,59,866","-? 53,174",-17%,87,24%
71a7a0,STCHE-6,CAMP_DIW_01,P14,Home Appliances,1020,BOGOF,59,195,"? 60,180","? 1,98,900","? 1,38,720",231%,331,561%
fd2628,STBLR-8,CAMP_DIW_01,P15,Combo1,3000,500 Cashback,437,1306,"? 13,11,000","? 32,65,000","? 19,54,000",149%,869,199%
7b187a,STVSK-1,CAMP_SAN_01,P14,Home Appliances,1020,BOGOF,82,322,"? 83,640","? 3,28,440","? 2,44,800",293%,562,685%
345b49,STMDU-2,CAMP_SAN_01,P14,Home Appliances,1020,BOGOF,76,300,"? 77,520","? 3,06,000","? 2,28,480",295%,524,689%
1c4a78,STMLR-2,CAMP_SAN_01,P12,Personal Care,62,50% OFF,27,31,"? 1,674",? 961,-? 713,-43%,4,15%
70c312,STHYD-4,CAMP_SAN_01,P13,Home Appliances,350,BOGOF,135,534,"? 47,250","? 1,86,900","? 1,39,650",296%,933,691%
1ee94b,STHYD-0,CAMP_DIW_01,P13,Home Appliances,350,BOGOF,68,235,"? 23,800","? 82,250","? 58,450",246%,402,591%
c381ea,STMLR-1,CAMP_SAN_01,P08,Home Care,1190,BOGOF,27,106,"? 32,130","? 1,26,140","? 94,010",293%,185,685%
8724c8,STCBE-4,CAMP_SAN_01,P04,Grocery & Staples,370,BOGOF,363,990,"? 1,34,310","? 3,66,300","? 2,31,990",173%,1617,445%
8f3699,STVSK-3,CAMP_DIW_01,P03,Grocery & Staples,156,25% OFF,196,174,"? 30,576","? 20,358","-? 10,218",-33%,-22,-11%
bfb2b4,STBLR-7,CAMP_SAN_01,P13,Home Appliances,350,BOGOF,133,559,"? 46,550","? 1,95,650","? 1,49,100",320%,985,741%
19e2f0,STCHE-7,CAMP_SAN_01,P11,Personal Care,190,50% OFF,58,81,"? 11,020","? 7,695","-? 3,325",-30%,23,40%
a0d919,STMDU-1,CAMP_DIW_01,P08,Home Care,1190,BOGOF,35,122,"? 41,650","? 1,45,180","? 1,03,530",249%,209,597%
98c85b,STMLR-2,CAMP_DIW_01,P13,Home Appliances,350,BOGOF,38,133,"? 13,300","? 46,550","? 33,250",250%,228,600%
d60641,STHYD-0,CAMP_DIW_01,P03,Grocery & Staples,156,25% OFF,351,305,"? 54,756","? 35,685","-? 19,071",-35%,-46,-13%
a340fc,STBLR-4,CAMP_DIW_01,P05,Home Care,55,25% OFF,136,121,"? 7,480","? 4,991","-? 2,489",-33%,-15,-11%
4dca21,STVSK-1,CAMP_SAN_01,P04,Grocery & Staples,370,BOGOF,252,985,"? 93,240","? 3,64,450","? 2,71,210",291%,1718,682%
ff18f2,STVSK-3,CAMP_DIW_01,P15,Combo1,3000,500 Cashback,260,681,"? 7,80,000","? 17,02,500","? 9,22,500",118%,421,162%
b79fd9,STVJD-1,CAMP_DIW_01,P04,Grocery & Staples,290,25% OFF,150,123,"? 43,500","? 26,753","-? 16,748",-39%,-27,-18%
c23e33,STHYD-6,CAMP_SAN_01,P11,Personal Care,190,50% OFF,49,69,"? 9,310","? 6,555","-? 2,755",-30%,20,41%
cf734f,STHYD-4,CAMP_SAN_01,P08,Home Care,1190,BOGOF,51,203,"? 60,690","? 2,41,570","? 1,80,880",298%,355,696%
0951b6,STMYS-1,CAMP_DIW_01,P09,Personal Care,110,50% OFF,103,159,"? 11,330","? 8,745","-? 2,585",-23%,56,54%
413f48,STVSK-0,CAMP_SAN_01,P14,Home Appliances,1020,BOGOF,61,234,"? 62,220","? 2,38,680","? 1,76,460",284%,407,667%
de1ced,STCHE-3,CAMP_DIW_01,P03,Grocery & Staples,156,25% OFF,330,290,"? 51,480","? 33,930","-? 17,550",-34%,-40,-12%
291ddf,STCBE-1,CAMP_SAN_01,P03,Grocery & Staples,200,BOGOF,267,1054,"? 53,400","? 2,10,800","? 1,57,400",295%,1841,690%
aa1bbd,STCBE-0,CAMP_SAN_01,P10,Personal Care,50,25% OFF,25,22,"? 1,250",? 825,-? 425,-34%,-3,-12%
53a947,STBLR-1,CAMP_SAN_01,P06,Home Care,415,25% OFF,39,36,"? 16,185","? 11,205","-? 4,980",-31%,-3,-8%
b8f698,STMDU-3,CAMP_DIW_01,P10,Personal Care,65,50% OFF,68,76,"? 4,420","? 2,470","-? 1,950",-44%,8,12%
13ad42,STMDU-0,CAMP_DIW_01,P03,Grocery & Staples,156,25% OFF,241,209,"? 37,596","? 24,453","-? 13,143",-35%,-32,-13%
93e61f,STBLR-4,CAMP_DIW_01,P10,Personal Care,65,50% OFF,92,120,"? 5,980","? 3,900","-? 2,080",-35%,28,30%
3070a3,STVSK-3,CAMP_DIW_01,P10,Personal Care,65,50% OFF,68,76,"? 4,420","? 2,470","-? 1,950",-44%,8,12%
cf0a2a,STHYD-3,CAMP_DIW_01,P09,Personal Care,110,50% OFF,92,147,"? 10,120","? 8,085","-? 2,035",-20%,55,60%
ae5745,STCBE-4,CAMP_DIW_01,P06,Home Care,415,25% OFF,68,61,"? 28,220","? 18,986","-? 9,234",-33%,-7,-10%
695cd9,STTRV-1,CAMP_SAN_01,P07,Home Care,300,BOGOF,21,82,"? 6,300","? 24,600","? 18,300",290%,143,681%
b76614,STMLR-0,CAMP_SAN_01,P12,Personal Care,62,50% OFF,33,47,"? 2,046","? 1,457",-? 589,-29%,14,42%
d42636,STBLR-6,CAMP_SAN_01,P05,Home Care,55,25% OFF,25,20,"? 1,375",? 825,-? 550,-40%,-5,-20%
d9d3f4,STMYS-1,CAMP_DIW_01,P10,Personal Care,65,50% OFF,103,158,"? 6,695","? 5,135","-? 1,560",-23%,55,53%
8cbaa3,STHYD-2,CAMP_SAN_01,P08,Home Care,1190,BOGOF,60,238,"? 71,400","? 2,83,220","? 2,11,820",297%,416,693%
aaea9e,STTRV-0,CAMP_DIW_01,P10,Personal Care,65,50% OFF,68,93,"? 4,420","? 3,023","-? 1,398",-32%,25,37%
34a266,STMLR-0,CAMP_DIW_01,P08,Home Care,1190,BOGOF,24,70,"? 28,560","? 83,300","? 54,740",192%,116,483%
b017e0,STMDU-3,CAMP_DIW_01,P02,Grocery & Staples,860,33% OFF,276,345,"? 2,37,360","? 1,98,789","-? 38,571",-16%,69,25%
7014a8,STBLR-8,CAMP_SAN_01,P14,Home Appliances,1020,BOGOF,97,385,"? 98,940","? 3,92,700","? 2,93,760",297%,673,694%
9e2de4,STMLR-0,CAMP_SAN_01,P07,Home Care,300,BOGOF,21,54,"? 6,300","? 16,200","? 9,900",157%,87,414%
ec29f9,STTRV-1,CAMP_SAN_01,P06,Home Care,415,25% OFF,21,19,"? 8,715","? 5,914","-? 2,801",-32%,-2,-10%
5c50b6,STHYD-6,CAMP_SAN_01,P09,Personal Care,90,25% OFF,55,45,"? 4,950","? 3,038","-? 1,913",-39%,-10,-18%
e2a523,STHYD-5,CAMP_DIW_01,P07,Home Care,300,BOGOF,59,195,"? 17,700","? 58,500","? 40,800",231%,331,561%
166a02,STCHE-6,CAMP_SAN_01,P13,Home Appliances,350,BOGOF,111,445,"? 38,850","? 1,55,750","? 1,16,900",301%,779,702%
